"V1","V2","V3","V4","V5","V6"
0,0,0,5.625,155.625,24.375
0.5,0,0,0,0,0
0,0.06,0,0,0,0
0,0,0.75,0,0,0
0,0,0,0.75,0,0
0,0,0,0,0.03,0
