"V1","V2","V3","V4","V5","V6"
"s1 * (1 - s1^(n1 - 1))/(1 - s1^n1)","s1 - s1 * (1 - s1^(n1 - 1))/(1 - s1^n1)","0","0","0","0"
"(mat2 * events * eps * sE * s0 * sR)/int","s2 * (1 - s2^(n2 - 1))/(1 - s2^n2)","s2 - s2 * (1 - s2^(n2 - 1))/(1 - s2^n2)","0","0","0"
"(mat3 * events * eps * sE * s0 * sR)/int","0","s3 * (1 - s3^(n3 - 1))/(1 - s3^n3)","s3 - s3 * (1 - s3^(n3 - 1))/(1 - s3^n3)","0","0"
"(mat4 * events * eps * sE * s0 * sR)/int","0","0","s4 * (1 - s4^(n4 - 1))/(1 - s4^n4)","s4 - s4 * (1 - s4^(n4 - 1))/(1 - s4^n4)","0"
"(mat5 * events * eps * sE * s0 * sR)/int","0","0","0","s5 * (1 - s5^(n5 - 1))/(1 - s5^n5)","s5 - s5 * (1 - s5^(n5 - 1))/(1 - s5^n5)"
"(mat6 * events * eps * sE * s0 * sR)/int","0","0","0","0","s6 * (1 - s6^(n6 - 1))/(1 - s6^n6)"
